日付,エンゲージ ビュー,チャンネル登録者,平均再生率（%） (%),追加された動画,公開済みの動画,インプレッション数,インプレッションのクリック率 (%),視聴を継続 (%),ユニーク視聴者数,視聴者あたりの平均視聴回数,新しい視聴者数,リピーター,ライトな視聴者,コアな視聴者,ハイプ,ハイプポイント,登録者増加数,登録者減少数,高評価数,低評価数,高評価率（低評価比） (%),共有数,コメントの追加回数,売上合計 (JPY),注文数,承認済みのコミッション (JPY),保留中のコミッション (JPY),返却された商品 (JPY),YouTube Premium の視聴回数,YouTube Premium 総再生時間（単位: 時間）,再生リストの総再生時間（単位: 時間）,再生リストからの視聴,再生リスト開始あたりの再生回数,ストリーミング時間,設定されているリマインダーの数,チャット メッセージ,リアクション,投稿のインプレッション,投稿の高評価,投稿の高評価率 (%),投稿のチャンネル登録者,投稿の回答,投稿の返信率 (%),リミックス数,リミックス視聴回数,コミュニティ クリップの視聴回数,コミュニティ クリップから発生した総再生時間（単位は時間）,カードのクリック数,カードの表示回数,カード ティーザーの表示回数,カードのティーザーのクリック数,カード表示 1 回あたりのクリック数 (%),カード ティーザー表示 1 回あたりのクリック数 (%),終了画面要素のクリック数,終了画面要素の表示回数,終了画面要素のクリック率 (%),視聴回数,総再生時間（単位: 時間）,平均視聴時間
2024-11-01,2188,-1,111.57,,,2959,2.84,45.71,2068,1.058,1305,763,763,0,0,0,0,1,35,20,63.64,0,0,,,,,,7,0.0265,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2188,10.9127,0:00:17
2024-08-07,2176,0,115.13,,,1441,1.87,34.41,2089,1.0416,1518,571,571,0,0,0,0,0,27,-7,135,0,0,,,,,,4,0.0114,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2176,15.3003,0:00:25
2025-10-02,2162,0,110.32,,,2186,2.88,19.15,2027,1.0666,1332,695,689,6,0,0,1,1,4,3,57.14,0,0,,,,,,7,0.0193,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,32972,32.9851,0:00:17
2024-08-19,2155,0,144.54,,,1772,4.68,50.66,1928,1.1177,1207,721,721,0,0,0,1,1,41,2,95.35,0,0,,,,,,5,0.0134,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2155,14.2592,0:00:23
2024-09-20,2154,0,151.22,,,2048,2.29,53.44,2044,1.0538,1387,657,657,0,0,0,0,0,42,12,77.78,0,0,,,,,,0,0,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2154,15.3679,0:00:25
2025-02-03,2150,1,164.15,,,1992,2.96,53.69,2021,1.0638,1294,727,727,0,0,0,1,0,23,21,52.27,0,0,,,,,,24,0.0852,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2150,16.0025,0:00:26
2024-08-17,2141,-1,121.35,,,1332,3.23,26.9,2004,1.0684,1282,722,722,0,0,0,0,1,32,7,82.05,0,0,,,,,,1,0.0013,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2141,11.8815,0:00:19
2024-04-10,2132,0,124.53,,,2008,3.78,55.9,1950,1.0933,1104,846,846,0,0,0,0,0,23,13,63.89,4,0,,,,,,5,0.02,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2132,13.0664,0:00:22
2024-01-19,2127,0,131.61,0,1,1096,2.1,35.89,2020,1.053,1458,562,562,0,0,0,1,1,37,1,97.37,0,0,,,,,,26,0.088,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2127,14.7827,0:00:25
2024-11-08,2125,2,118.42,,,3539,4.35,44.67,1891,1.1237,1210,681,681,0,0,0,2,0,14,-9,280,0,1,,,,,,13,0.0561,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2125,11.3574,0:00:19
2025-04-17,2117,0,130.82,,,2280,4.08,54.38,1998,1.0596,1218,780,776,4,0,0,0,0,68,0,100,1,0,,,,,,18,0.0404,,,,,0,,,,,,0,,,,1,0,0,0,0,0,0,,,0,0,,2493,12.5615,0:00:21
2025-09-09,2117,1,137.52,,,2718,1.55,17.78,2051,1.0322,1388,663,651,12,0,0,1,0,2,0,100,0,0,,,,,,12,0.0272,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2313,13.1549,0:00:22
2024-12-16,2116,0,176.42,,,2508,1.95,29.05,2016,1.0496,1331,685,685,0,0,0,0,0,43,7,86,0,0,,,,,,4,0.0167,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2116,18.3854,0:00:31
2024-09-04,2101,0,144.94,,,869,2.99,47.5,2068,1.016,1445,623,623,0,0,0,0,0,50,20,71.43,0,0,,,,,,0,0,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2101,13.8923,0:00:23
2025-11-03,2096,0,124.65,,,2593,2.2,17.6,2014,1.0407,1278,736,726,10,0,0,1,1,3,1,75,0,0,,,,,,16,0.033,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,34914,27.9943,0:00:20
2024-11-29,2095,0,93.27,,,4528,3.25,37.2,1915,1.094,1310,605,605,0,0,0,0,0,22,-1,104.76,0,0,,,,,,18,0.1035,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2095,9.3442,0:00:16
2024-03-24,2087,0,109,,,2258,2.88,22.15,1878,1.1113,1092,786,786,0,0,0,0,0,41,-11,136.67,0,0,,,,,,42,0.1078,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2087,11.6477,0:00:20
2024-08-18,2084,-1,145.07,,,1876,3.41,30.08,1906,1.0934,1198,708,708,0,0,0,0,1,31,-8,134.78,0,0,,,,,,0,0,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2084,14.1853,0:00:24
2024-09-27,2076,1,124.7,,,1962,2.09,48.53,1992,1.0422,1362,630,630,0,0,0,1,0,46,9,83.64,0,1,,,,,,6,0.0128,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2076,11.84,0:00:20
2025-08-29,2073,0,105.21,,,1698,3.59,58.1,1885,1.0997,1133,752,746,6,0,0,0,0,0,-1,-0,0,0,,,,,,7,0.0124,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2150,9.7732,0:00:16
2025-01-30,2053,0,106.09,,,1986,4.63,56.96,1938,1.0593,1197,741,741,0,0,0,0,0,38,-3,108.57,1,0,,,,,,24,0.0702,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2053,10.1118,0:00:17
2024-08-10,2052,1,117.02,,,2798,1.22,30.57,1927,1.0649,1198,729,729,0,0,0,1,0,29,0,100,0,0,,,,,,3,0.0086,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2052,10.9697,0:00:19
2025-09-23,2039,0,137.37,,,2028,2.42,15.58,1917,1.0636,1276,641,635,6,0,0,0,0,1,0,100,0,0,,,,,,12,0.0313,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2594,12.7824,0:00:22
2024-04-30,2024,2,93.27,4,5,3563,1.63,29.7,1950,1.0379,1658,292,292,0,0,0,3,1,9,-3,150,0,1,,,,,,166,0.5459,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2024,9.3801,0:00:16
2024-11-22,2022,1,94.32,,,5070,3.08,47.04,1817,1.1128,1235,582,582,0,0,0,1,0,3,-5,-150,0,0,,,,,,13,0.0571,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2022,8.9641,0:00:15
