順位,アーティスト名,曲名,動画タイトル,Video ID,再生数,高評価数,支持率(%),コメント数,急上昇度(views/day),公開日数
152,大漠波新,のだ,のだ / ずんだもん・初音ミク・重音テト,vY8iwpN3GXQ,27667225,320320,1.16,12132,36072.0,767
153,Mrs. GREEN APPLE,Dear,Mrs. GREEN APPLE – Dear【LIVE from ゼンジン未到とヴェルトラウム〜銘銘編〜】,sYMaoGflrug,17179831,88776,0.52,3335,36016.4,477
154,SEVENTEEN,今-明日 世界が終わっても-,SEVENTEEN (세븐틴) '今 -明日 世界が終わっても-' (Ima -Even if the world ends tomorrow-) Official MV,vvN4FgqNXwE,30173601,587831,1.95,21161,35835.6,842
155,超ときめき♡宣伝部,最上級にかわいいの！,超ときめき♡宣伝部 / 「最上級にかわいいの！」Music Video,Y4KjiTGBggw,21260450,125847,0.59,5538,35434.1,600
156,FRUITS ZIPPER,はちゃめちゃわちゃライフ！,【うたコン】はちゃめちゃわちゃライフ！ ／ FRUITS ZIPPER | NHK,HztLJEp5r7A,35424,838,2.37,0,35424.0,1
157,YOASOBI,アドベンチャー,YOASOBI「アドベンチャー」Official Music Video,Av3xaZkVpJs,35335889,253506,0.72,4789,35090.3,1007
158,Official髭男dism,イエスタデイ,"Yesterday (With Spoken Word Intro / Live From Studio 50, New York City / 1965)",wXTJBr9tt8Q,102278362,869751,0.85,25346,35050.8,2918
159,Mega Shinnosuke,愛とU,Mega Shinnosuke - 愛とU(Official Music Video),NY1TyFUhbMA,18785952,185473,0.99,2314,34724.5,541
160,宝鐘マリン,幽霊船戦,【original anime MV】幽霊船戦【hololive/宝鐘マリン】,QfGuQELt1Tk,16889696,365172,2.16,16524,33847.1,499
161,KAMIGATA BOYZ,無責任でええじゃないかLOVE,KAMIGATA BOYZ - 無責任でええじゃないかLOVE [Official Music Video],I-xwDWfGIc4,19894678,0,0.0,20874,33834.5,588
162,「おかあさんといっしょ」より,からだ☆ダンダン,「からだ☆ダンダン」♪スペステ2023から,9rNtzlwzWhw,16815543,0,0.0,0,33834.1,497
163,Tani Yuuki,おかえり,おかえり - Tani Yuuki【MV】,0ZsP6MVjFIo,38070284,271283,0.71,6671,33720.4,1129
164,しなこ FEAT. 午前0時のプリンセス,マシュマロパンチ,【MV】 マシュマロパンチ‪👊🏻💗 / しなこfeat. 午前0時のプリンセス / あぃりDX,sd4LIb8pm8s,11775713,41282,0.35,2456,33453.7,352
165,緑黄色社会,恥ずかしいか青春は,緑黄色社会『恥ずかしいか青春は』Official Video / Ryokuoushoku Shakai – Hazukashiika Seishunwa,G9KznOYqyOg,17269321,106186,0.61,2749,33338.5,518
166,なにわ男子,The Answer,THE ANSWER - ChanMyae MgCho (OFFICIAL MUSIC VIDEO),ZQM7Iy9paj8,9938070,44510,0.45,1078,33016.8,301
167,てれび戦士,こたえあわせ,Kotaeawase,yx1-9AHAFfQ,6427469,64162,1.0,1296,32462.0,198
168,Da-iCE,ノンフィクションズ,Da-iCE /「ノンフィクションズ」Music Video,6Moq0q8R5Vw,4218862,34720,0.82,2453,32452.8,130
169,なにわ男子,ギラギラサマー,なにわ男子 - ギラギラサマー [Official Music Video],LJOfZ-7FumQ,6244851,79942,1.28,16984,32356.7,193
170,meiyo,なにやってもうまくいかない,【meiyo】なにやってもうまくいかない【MV】,vxoKuhPca-A,49048486,646736,1.32,12353,31891.1,1538
171,日向電工,ブリキノダンス,【Ado】ブリキノダンス 歌いました,iL7uoLCbJoc,23380592,272183,1.16,4694,31425.5,744
172,みきとP,ロキ,みきとP 『 ロキ 』 MV,Xg-qfsKN2_E,88022991,637616,0.72,25277,30939.5,2845
173,なにわ男子,アシンメトリー,なにわ男子 - アシンメトリー [Official Music Video YouTube ver.],5YI0KW4k6U8,3749917,54246,1.45,27727,30737.0,122
174,BE:FIRST,Bye-Good-Bye,BE:FIRST / Bye-Good-Bye -Music Video-,w-5PdHUDHX0,41739641,210186,0.5,56239,30334.0,1376
