id,song_name,artist_name,video_id,video_title,view_count,like_count,comment_count,support_rate,engagement_rate,published_at,release_date,tags,difficulty,release_status
10011028,星座になれたら,結束バンド,fJh5UeiULZs,【LIVE映像】結束バンド「星座になれたら」LIVE at 秀華祭/ 「ぼっち・ざ・ろっく！」劇中曲,27792019,300851,8481,1.08,1.11,2022-12-24T15:30:05Z,2024/05/01,"[""アニメ""]",かんたん：2むずかしい：6げきむず：0,リリース
10011005,ギターと孤独と蒼い惑星,結束バンド,p010N38zFrA,【LIVE映像】結束バンド「ギターと孤独と蒼い惑星」LIVE at STARRY / 「ぼっち・ざ・ろっく！」劇中曲,14419082,181451,4027,1.26,1.29,2022-11-05T15:30:14Z,2024/05/06,"[""アニメ""]",かんたん：2むずかしい：6げきむず：0,リリース
10011002,トウキョウ・シャンディ・ランデヴ,MAISONdes,NFMmSOWPj_k,"【239】[feat. 花譜, ツミキ] トウキョウ・シャンディ・ランデヴ / MAISONdes",76623833,525410,14750,0.69,0.7,2022-11-03T12:00:09Z,2023/03/19,"[""アニメ""]",かんたん：3むずかしい：5げきむず：0,リリース
10011554,おジャ魔女カーニバル!!,MAHO堂,_mN4xKRRUkg,おジャ魔女カーニバル!!,11864483,54747,0,0.46,0.46,2024-03-21T10:01:34Z,2024/05/04,"[""アニメ""]",かんたん：3むずかしい：7げきむず：0,リリース
10010635,Bye-Good-Bye,BE:FIRST,w-5PdHUDHX0,BE:FIRST / Bye-Good-Bye -Music Video-,41799499,210488,56244,0.5,0.64,2022-03-07T11:00:13Z,2024/03/22,"[""ポップス""]",かんたん：2むずかしい：6げきむず：0,リリース
10010647,１・２・３,After the Rain (そらる×まふまふ),ajjN7eAnyZE,[ポケットモンスターOP]１・２・３／After the Rain（そらる×まふまふ）,38516258,421154,23566,1.09,1.15,2019-11-17T09:30:00Z,2022/06/01,"[""アニメ""]",かんたん：2むずかしい：6げきむず：0,リリース
10011597,夢幻,MY FIRST STORY×HYDE,1a3b7ZpUcn4,MY FIRST STORY × HYDE – “MUGEN” (from Anime “Demon Slayer: Kimetsu no Yaiba”) Official Music Video,44934996,281888,10545,0.63,0.65,2024-06-23T14:55:00Z,2024/08/04,"[""アニメ""]",かんたん：3むずかしい：5げきむず：0,リリース
10010418,残響散歌,Aimer,tLQLa6lM3Us,Aimer「Zankyosanka」MUSIC VIDEO（Demon Slayer:Kimetsu no Yaiba Entertainment District Arc Theme Song）,283253741,1422979,25160,0.5,0.51,2021-12-12T15:00:11Z,2024/04/22,"[""アニメ""]",かんたん：2むずかしい：6げきむず：0,リリース
10010347,阿修羅ちゃん,Ado,cyq5-StPISU,【Ado】阿修羅ちゃん,113290252,906495,16444,0.8,0.81,2021-10-28T11:30:13Z,2024/05/02,"[""ポップス""]",かんたん：2むずかしい：6げきむず：0,リリース
10010342,unravel,TK from 凛として時雨,Fve_lHIPa-I,TK from 凛として時雨 『unravel』 Music Video(Full Size),79542517,1061163,25173,1.33,1.37,2020-07-23T09:00:04Z,2024/04/11,"[""アニメ""]",かんたん：2むずかしい：5げきむず：0,リリース
