順位,release_date,アーティスト名,曲名,動画タイトル,Video ID,再生数,高評価数,支持率(%),コメント数,急上昇度(views/day),公開日数,最適投稿日時,予測視聴数,信頼度スコア
328,2024/09/24,すとぷり,虹のはじまり,【MV】虹のはじまり／すとぷり【HoneyWorks】,bJvIcIVsgks,2316930,35028,1.51,5924,4282.7,541,,0,0.0
329,2024/12/25,HoneyWorks,死ぬまでダーリン,死ぬまでダーリン feat. 望月あかり（CV：阿澄佳奈）／HoneyWorks,1GguL5dZd3M,2308328,56112,2.43,1605,4092.8,564,,0,0.0
330,2024/11/07,めておら - Meteorites -,FIRST 1MPACT,【初オリジナル曲】FIRST 1MPACT / めておら【STPR新人歌い手グループ】【Meteorites】,tT3grNOdB8g,2247791,68214,3.03,3448,4559.4,493,,0,0.0
331,2025/03/29,いろはにほへっと あやふぶみ,雨トキメキ恋模様,【MV】雨トキメキ恋模様 / いろはにほへっと あやふぶみ,td0eO78wxSI,2238156,51979,2.32,1724,6582.8,340,,0,0.0
332,2024/08/08,ブンドリオ・ブンデラス(CV:松本 梨香),コツコツ-PON-PON,コツコツ-PON-PON,irB0C3g_NyQ,2137269,7906,0.37,0,3430.6,623,,0,0.0
333,2025/09/27,キュアアイドル(CV：松岡美里)&キュアウインク(CV：髙橋ミナミ)&キュアキュンキュン(CV：高森奈津美)&キュアズキューン(CV：南條愛乃)&キュアキッス(CV：花井美春）,キミとルララ,「キミとアイドルプリキュア♪」後期エンディング主題歌「キミとルララ」(ノンテロップver),UqfS7TaV7xo,1950487,14741,0.76,0,11966.2,163,,0,0.0
334,2024/06/02,由紀 さおり・安田 祥子,手のひらを太陽に,【♪うたアニメ】手のひらを太陽に〈うた：いっちー＆なる〉ぼくらはみんな　生きている〜♪【童謡・こどものうた】,7vsl87kKdFM,1814599,2639,0.15,0,2288.3,793,,0,0.0
335,2025/03/24,Omoinotake,ラストノート,Omoinotake | ラストノート 【Official Music Video】,s5nnCiI78FI,1793004,9341,0.52,271,4706.0,381,,0,0.0
336,2025/10/04,HANA,Blue Jeans,Blue Jeans,9p15MdpVAO0,1765269,17319,0.98,143,4457.8,396,,0,0.0
337,2024/10/08,Girls2 x iScream,D.N.A.,DNA.,ue4xoNqdc2I,1722922,25824,1.5,184,638.4,2699,,0,0.0
338,2028/10/18,広告用,広告用,【2ch有益スレ】YouTubeウザい広告の歴史がｺﾁﾗw #2ch有益スレ #shorts vol.598,8ANgKT_fIB8,1719464,54695,3.18,3609,2773.3,620,,0,0.0
339,2025/04/12,『ユイカ』,僕らしさ,僕らしさ / 『ユイカ』【MV】,cXaU8gAbCRY,1690497,28816,1.7,647,3904.2,433,,0,0.0
340,2024/04/07,吉武千颯,わんだふるぷりきゅあ!EVOLUTION!!,わんだふるぷりきゅあ！evolution!!,iQxl-nohiqA,1689587,8294,0.49,0,2820.7,599,,0,0.0
341,2025/02/09,King & Prince,WOW,林 和希「Wow」Official Music Video,3AlwHCW3Zv0,1608114,12836,0.8,549,1716.2,937,,0,0.0
342,2024/08/02,『おかあさんといっしょ』,ドンスカパンパンおうえんだん,♪ドンスカパンパンおうえんだん〈振り付き〉ドンスカドン　ドンスカドン　ドンスカドンスカ　ドンドンドン～♪【おかあさんといっしょ・おかいつ】,BroJdJsFC6Y,1564086,1393,0.09,0,1855.4,843,,0,0.0
343,2024/05/16,コロムビア・オーケストラ,プリキュア5、スマイル go go!,プリキュア5、スマイル go go！,tAk0D14F_UM,1558176,8621,0.55,0,756.0,2061,,0,0.0
344,2024/06/22,山内 惠介,イチカバチカ,TVアニメ「はなかっぱ」EDテーマ「イチカバチカ」映像,hyNymq0bLmc,1523061,3449,0.23,0,1677.4,908,,0,0.0
345,2024/04/09,WEST.,証拠,"WEST. - 証拠 from WOWOW presents WEST. 10th Anniversary Live ""W""",WsZzYDa6XYE,1518408,32943,2.17,1807,3539.4,429,,0,0.0
346,2024/05/03,ドリーミング・アンパン合唱団,勇気りんりん,勇気りんりん,dB9WAlAdP9w,1420933,4137,0.29,0,2941.9,483,,0,0.0
347,2024/07/15,坂田 おさむ,にじのむこうに,にじのむこうに（おかあさんといっしょ）／坂田おさむ＆坂田めぐみ,N1DZ0GCgIhA,1343480,4222,0.31,204,1294.3,1038,,0,0.0
348,2024/07/04,『おかあさんといっしょ』ファンターネ!OP,ファンターネ!,「 ファンターネOP～ファン ファン ファン！」♪スペステ2022から,8yJffvClwuY,1303313,0,0.0,0,2617.1,498,,0,0.0
